VOLTS`V`float	deriv(v(out2))`V/V`float
1.24229	-0.222222
1.24229	0
1.2423	0
1.2423	-0.25
1.2423	0
1.2423	-0.25
1.2423	-0.25
1.2423	0
1.2423	-0.25
1.2423	0
1.24231	0
1.24231	-0.25
1.24231	0
1.24231	-0.25
1.24231	-0.25
1.24231	0
1.24231	-0.25
1.24231	0
1.24232	0
1.24232	-0.222222
1.24232	0
1.24232	-0.222222
1.24232	-0.222222
1.24232	0
1.24232	-0.222222
1.24232	0
1.24233	0
1.24233	-0.25
1.24233	0
1.24233	-0.25
1.24233	-0.25
1.24233	0
1.24233	-0.25
1.24234	0
1.24234	0
1.24234	-0.222222
1.24234	0
1.24235	-0.222222
1.24235	-0.222222
1.24235	0
1.24235	-0.222222
1.24235	0
1.24236	0
1.24236	-0.25
1.24236	0
1.24236	-0.25
1.24236	-0.25
1.24236	0
1.24236	-0.25
1.24236	0
1.24237	0
1.24237	-0.25
1.24237	0
1.24237	-0.25
1.24237	-0.25
1.24237	0
1.24237	-0.25
1.24237	0
1.24238	0
1.24238	-0.25
1.24238	0
1.24238	-0.25
1.24238	-0.25
1.24238	0
1.24238	-0.25
1.24238	0
1.24239	0
1.24239	-0.222222
1.24239	0
1.24239	-0.222222
1.24239	-0.222222
1.24239	0
1.24239	-0.222222
1.24239	0
1.2424	0
1.2424	-0.222222
1.2424	0
1.2424	-0.222222
1.2424	-0.222222
1.2424	0
